"Command","ReplyLength","ReplyHex","ReplyAscii"
"AA","2","3F 3B","?;"
"AD","2","3F 3B","?;"
"AE","2","3F 3B","?;"
"AF","2","3F 3B","?;"
"AH","2","3F 3B","?;"
"AJ","2","3F 3B","?;"
"AK","2","3F 3B","?;"
"AL","2","3F 3B","?;"
"AP","2","3F 3B","?;"
"AQ","2","3F 3B","?;"
"AR","2","3F 3B","?;"
"AS","2","3F 3B","?;"
"AT","2","3F 3B","?;"
"AU","2","3F 3B","?;"
"AW","2","3F 3B","?;"
"AX","2","3F 3B","?;"
"AY","2","3F 3B","?;"
"AZ","2","3F 3B","?;"
"BB","2","3F 3B","?;"
"BE","2","3F 3B","?;"
"BF","2","3F 3B","?;"
"BG","2","3F 3B","?;"
"BH","2","3F 3B","?;"
"BJ","2","3F 3B","?;"
"BK","2","3F 3B","?;"
"BL","2","3F 3B","?;"
"BN","2","3F 3B","?;"
"BO","2","3F 3B","?;"
"BQ","2","3F 3B","?;"
"BR","2","3F 3B","?;"
"BT","2","3F 3B","?;"
"BV","2","3F 3B","?;"
"BX","2","3F 3B","?;"
"BZ","2","3F 3B","?;"
"CA","2","3F 3B","?;"
"CB","2","3F 3B","?;"
"CC","2","3F 3B","?;"
"CD","2","3F 3B","?;"
"CE","2","3F 3B","?;"
"CF","2","3F 3B","?;"
"CG","2","3F 3B","?;"
"CI","2","3F 3B","?;"
"CJ","2","3F 3B","?;"
"CK","2","3F 3B","?;"
"CL","2","3F 3B","?;"
"CM","2","3F 3B","?;"
"CP","2","3F 3B","?;"
"CQ","2","3F 3B","?;"
"CR","2","3F 3B","?;"
"CU","2","3F 3B","?;"
"CV","2","3F 3B","?;"
"CX","2","3F 3B","?;"
"CY","2","3F 3B","?;"
"CZ","2","3F 3B","?;"
"DB","2","3F 3B","?;"
"DC","2","3F 3B","?;"
"DD","2","3F 3B","?;"
"DE","2","3F 3B","?;"
"DF","2","3F 3B","?;"
"DG","2","3F 3B","?;"
"DH","2","3F 3B","?;"
"DI","2","3F 3B","?;"
"DJ","2","3F 3B","?;"
"DK","2","3F 3B","?;"
"DL","2","3F 3B","?;"
"DM","2","3F 3B","?;"
"DO","2","3F 3B","?;"
"DP","2","3F 3B","?;"
"DQ","2","3F 3B","?;"
"DR","2","3F 3B","?;"
"DS","2","3F 3B","?;"
"DU","2","3F 3B","?;"
"DV","2","3F 3B","?;"
"DW","2","3F 3B","?;"
"DX","2","3F 3B","?;"
"DY","2","3F 3B","?;"
"DZ","2","3F 3B","?;"
"EA","2","3F 3B","?;"
"EB","2","3F 3B","?;"
"EC","2","3F 3B","?;"
"EE","2","3F 3B","?;"
"EF","2","3F 3B","?;"
"EG","2","3F 3B","?;"
"EH","2","3F 3B","?;"
"EI","2","3F 3B","?;"
"EJ","2","3F 3B","?;"
"EK","0","",""
"EL","2","3F 3B","?;"
"EO","2","3F 3B","?;"
"EP","2","3F 3B","?;"
"EQ","2","3F 3B","?;"
"ER","2","3F 3B","?;"
"ES","2","3F 3B","?;"
"ET","2","3F 3B","?;"
"EV","2","3F 3B","?;"
"EW","2","3F 3B","?;"
"EY","2","3F 3B","?;"
"EZ","2","3F 3B","?;"
"FC","2","3F 3B","?;"
"FD","2","3F 3B","?;"
"FE","2","3F 3B","?;"
"FF","2","3F 3B","?;"
"FG","2","3F 3B","?;"
"FH","2","3F 3B","?;"
"FI","2","3F 3B","?;"
"FJ","2","3F 3B","?;"
"FK","2","3F 3B","?;"
"FL","2","3F 3B","?;"
"FO","2","3F 3B","?;"
"FP","2","3F 3B","?;"
"FQ","2","3F 3B","?;"
"FU","2","3F 3B","?;"
"FV","2","3F 3B","?;"
"FW","2","3F 3B","?;"
"FX","2","3F 3B","?;"
"FY","2","3F 3B","?;"
"FZ","2","3F 3B","?;"
"GA","2","3F 3B","?;"
"GB","2","3F 3B","?;"
"GC","2","3F 3B","?;"
"GD","2","3F 3B","?;"
"GE","2","3F 3B","?;"
"GF","2","3F 3B","?;"
"GG","2","3F 3B","?;"
"GH","2","3F 3B","?;"
"GI","2","3F 3B","?;"
"GJ","2","3F 3B","?;"
"GK","2","3F 3B","?;"
"GL","2","3F 3B","?;"
"GM","2","3F 3B","?;"
"GN","2","3F 3B","?;"
"GO","2","3F 3B","?;"
"GP","2","3F 3B","?;"
"GQ","2","3F 3B","?;"
"GR","2","3F 3B","?;"
"GS","2","3F 3B","?;"
